File,Time,Replicate,Plate,Name,Channel,Treatment,Replicate2
"Abundances (Grouped): F1, 126",1,A,1,X1_A_1,X126,no,A1
"Abundances (Grouped): F1, 127N",900,A,1,X900_A_1,X127N,yes,A1
"Abundances (Grouped): F1, 127C",300,A,1,X300_A_1,X127C,yes,A1
"Abundances (Grouped): F1, 128N",30,B,1,X30_B_1,X128N,yes,B1
"Abundances (Grouped): F1, 128C",30,A,1,X30_A_1,X128C,yes,A1
"Abundances (Grouped): F1, 129N",300,C,1,X300_C_1,X129N,yes,C1
"Abundances (Grouped): F1, 129C",1,C,1,X1_C_1,X129C,no,C1
"Abundances (Grouped): F1, 130N",900,C,1,X900_C_1,X130N,yes,C1
"Abundances (Grouped): F1, 130C",300,B,1,X300_B_1,X130C,yes,B1
"Abundances (Grouped): F1, 131N",30,C,1,X30_C_1,X131N,yes,C1
"Abundances (Grouped): F1, 131C",1,B,1,X1_B_1,X131C,no,B1
"Abundances (Grouped): F1, 132N",900,B,1,X900_B_1,X132N,yes,B1
"Abundances (Grouped): F2, 126",300,C,2,X300_C_2,X126,yes,C2
"Abundances (Grouped): F2, 127N",300,B,2,X300_B_2,X127N,yes,B2
"Abundances (Grouped): F2, 127C",30,A,2,X30_A_2,X127C,yes,A2
"Abundances (Grouped): F2, 128N",1,A,2,X1_A_2,X128N,no,A2
"Abundances (Grouped): F2, 128C",1,B,2,X1_B_2,X128C,no,B2
"Abundances (Grouped): F2, 129N",1,C,2,X1_C_2,X129N,no,C2
"Abundances (Grouped): F2, 129C",900,B,2,X900_B_2,X129C,yes,B2
"Abundances (Grouped): F2, 130N",900,C,2,X900_C_2,X130N,yes,C2
"Abundances (Grouped): F2, 130C",900,A,2,X900_A_2,X130C,yes,A2
"Abundances (Grouped): F2, 131N",30,C,2,X30_C_2,X131N,yes,C2
"Abundances (Grouped): F2, 131C",300,A,2,X300_A_2,X131C,yes,A2
"Abundances (Grouped): F2, 132N",30,B,2,X30_B_2,X132N,yes,B2
